id_natural,tipo_evento,semana,id_video/actividad
1,J,1,
2,J,1,
3,J,1,
4,J,1,
5,J,1,
6,J,1,
7,J,1,
8,J,1,
9,J,1,
10,J,1,
11,J,1,
12,J,1,
13,J,1,
14,J,1,
15,E,1,1
16,E,1,1
17,E,1,2
18,E,1,3
19,E,1,3
20,E,1,3
21,E,1,4
22,E,1,4
23,E,1,5
24,E,1,5
25,E,1,6
26,E,1,6
27,E,1,7
28,E,1,7
29,A,1,1
30,A,1,1
31,A,1,1
31,A,1,1
31,A,1,1
32,A,1,1
32,A,1,1
33,A,1,1
33,A,1,1
33,A,1,1
34,A,1,1
35,A,1,1
35,A,1,1
36,A,1,1
37,A,1,1
38,A,1,1
39,A,1,1
40,A,1,1
41,A,1,1
42,E,2,8
43,E,2,8
44,E,2,9
45,E,2,9
46,E,2,10
47,E,2,10
48,E,2,11
49,E,2,11
50,E,2,12
51,E,2,12
52,E,2,13
53,E,2,13
54,E,2,14
55,E,2,14
56,E,2,14
57,E,2,14
58,E,2,14
59,E,2,15
60,E,2,15
61,A,2,2
62,A,2,2
63,A,2,2
64,A,2,2
65,A,2,2
66,A,2,2
67,A,2,2
68,A,2,2
69,A,2,2
70,A,2,2
71,A,2,2
72,A,2,2
73,A,2,2
74,A,2,2
75,A,2,2
75,A,2,2
76,A,2,2
77,A,2,2
78,A,2,2
78,A,2,2
78,A,2,2
78,A,2,2
78,A,2,2
78,A,2,2
79,E,3,16
80,E,3,16
81,E,3,17
82,E,3,17
83,E,3,18
84,E,3,18
85,A,3,3
85,A,3,3
85,A,3,3
86,A,3,3
86,A,3,3
87,A,3,3
87,A,3,3
88,A,3,3
89,A,3,3
90,A,3,3
90,A,3,3
91,A,3,3
92,E,4,19
93,E,4,19
94,E,4,20
95,E,4,20
96,E,4,21
97,E,4,21
98,E,4,22
99,E,4,22
100,E,4,23
101,E,4,23
102,A,4,4
103,A,4,4
104,A,4,4
105,A,4,4
106,A,4,4
107,A,4,4
107,A,4,4
108,A,4,4
108,A,4,4
109,A,4,4
109,A,4,4
110,E,5,24
111,E,5,24
112,E,5,25
113,E,5,25
114,E,5,26
115,E,5,26
116,E,5,27
117,E,5,27
118,A,5,5
119,A,5,5
120,A,5,5
121,A,5,5
122,A,5,5
123,A,5,5
124,A,5,5
125,A,5,5
126,E,6,28
127,E,6,28
128,E,6,29
129,E,6,29
130,E,6,30
131,E,6,30
132,A,6,6
133,A,6,6
134,A,6,6
135,A,6,6
136,X,7,
137,X,7,
138,X,7,
139,X,7,
140,X,7,
141,X,7,
142,X,7,
143,X,7,
144,X,7,
145,X,7,
146,X,7,
147,X,7,
148,X,7,
149,X,7,
150,X,7,
151,X,7,
152,X,7,
153,X,7,
154,X,7,
155,X,7,
156,X,7,
157,X,7,
158,X,7,
159,X,7,
160,X,7,
161,X,7,
162,X,7,
163,X,7,
164,X,7,
165,X,7,
166,X,7,
167,X,7,
168,X,7,
169,X,7,
170,X,7,
171,X,7,
172,X,7,
173,X,7,
174,X,7,
175,X,7,
176,X,7,
177,X,7,
178,X,7,
179,X,7,
180,X,7,
181,X,7,
182,X,7,
183,X,7,
184,X,7,
185,X,7,
186,X,7,
187,X,7,
188,X,7,
189,X,7,
190,X,7,
191,X,7,
192,X,7,
193,X,7,
194,X,7,
195,X,7,
196,X,7,
